BFS_NR_GEMEINDE;GEMEINDE_NAME;BEZIRK_NR;BEZIRK_NAME;Wahljahr;EDU;EVP;GP;SP;CVP;FDP;SVP;glp;BDP
4851;Salenstein;2013;Kreuzlingen;2016;0.6;3.6;5.6;17.1;6.9;20.8;35.5;5.3;4.6
4441;Salmsach;2011;Arbon;2016;4.8;7.8;12;19.2;7.3;10.4;34.1;2.1;2.3
4546;Schlatt;2012;Frauenfeld;2016;1.6;5.8;4;10.7;3.2;23.2;45.9;3.4;2.3
4756;Schönholzerswilen;2015;Weinfelden;2016;1.3;5.2;7.7;4.3;12.9;11.9;50.9;3;2.7
4761;Sirnach;2014;Münchwilen;2016;5.2;4.2;9.7;10.7;22.4;10.4;31.3;2.9;3.2
4446;Sommeri;2011;Arbon;2016;8;4.9;14;7.4;11;4.2;47.1;3;0.3
4864;Steckborn;2012;Frauenfeld;2016;3.7;3.6;7.9;20.3;7.3;19.2;29.3;3.8;5
4606;Stettfurt;2012;Frauenfeld;2016;2.4;7.2;5.6;10.6;18.1;16.4;31.2;5.7;2.8
4506;Sulgen;2015;Weinfelden;2016;7.2;3.1;5.3;13.6;15.1;16.6;32;5;2.1
4696;Tägerwilen;2013;Kreuzlingen;2016;3.8;9;3.9;15.3;10.4;18.3;27.2;9.5;2.6
4611;Thundorf;2012;Frauenfeld;2016;4.6;10;4.2;12.4;6.4;9.6;38.6;9.6;4.7
4776;Tobel-Tägerschen;2014;Münchwilen;2016;5.8;10.8;4;3.5;16.3;7.8;42.3;3.1;6.4
4616;Uesslingen-Buch;2012;Frauenfeld;2016;1.9;4.2;2.9;8.3;17.1;7.6;50.7;4.9;2.4
4451;Uttwil;2011;Arbon;2016;2.6;1.7;6.1;9.6;7.9;22.6;42;4.7;2.8
4871;Wagenhausen;2012;Frauenfeld;2016;3.1;6.3;6.3;12.1;2.5;13.9;46;4.3;5.6
4701;Wäldi;2013;Kreuzlingen;2016;2.3;2.6;4.7;6.1;2.7;8.3;62.4;7.5;3.5
4781;Wängi;2014;Münchwilen;2016;8.6;2.4;7.8;7.2;19.1;10.7;34.3;4.6;5.4
4621;Warth-Weiningen;2012;Frauenfeld;2016;1.8;7;5.4;13.3;13.4;9.4;44.1;4.1;1.5
4946;Weinfelden;2015;Weinfelden;2016;5.4;6.9;7.8;11.7;14.6;19.4;24.6;6.7;2.8
4951;Wigoltingen;2015;Weinfelden;2016;6.5;5;5.4;14.5;6.4;9.4;44.7;4.2;4
4786;Wilen;2014;Münchwilen;2016;1.4;5.3;10.7;9.3;24.6;16.7;20.9;6.1;5
4791;Wuppenau;2015;Weinfelden;2016;3.4;2.5;6;8.3;20.5;8.4;44.3;3.9;2.6
4511;Zihlschlacht-Sitterdorf;2015;Weinfelden;2016;13;4.7;3.4;8.8;10.6;16.8;37.8;2.9;1.8
